date_added,company_name,company_website,hq_country,hq_city,industry,sector,date_removed
2026-04-13,#GoKindly,https://www.gokindly.com.au,Australia,Victoria,General retail via Internet,Wholesale/Retail,
2026-04-13,#SustainablePublicAffairs,https://www.sustainablepublicaffairs.com,Belgium,Brussels-Capital Region,Other info service activities,Service with Minor Environmental Footprint,
2026-04-13,& SMITH LIMITED,https://www.andsmithdesign.com,United Kingdom,London Borough of Islington,Advertising & market research,Service with Minor Environmental Footprint,
2026-04-13,&Open,https://andopen.co/,Ireland,County Dublin,Other retail sale,Wholesale/Retail,
2026-04-13,&Robin (androbin ApS),https://androbin.dk,Denmark,Capital Region of Denmark,Advertising & market research,Service with Minor Environmental Footprint,
2026-04-13,&Smyth Creative Communications,https://www.andsmyth.ie,Ireland,County Sligo,Management consultant - for-profits,Service with Minor Environmental Footprint,
2026-05-11,&SONS Trading Company Ltd,https://www.andsons.co.uk,United Kingdom,United Kingdom,Apparel,Wholesale/Retail,
2026-04-13,&Tradition,https://www.andtradition.com/,Denmark,Capital Region of Denmark,Furniture,Wholesale/Retail,
2026-04-13,&why GmbH,https://www.why.de,Germany,Bavaria,Other info service activities,Service with Minor Environmental Footprint,
2026-04-13,(AGR FOOD MARKETING) AGR BLAY S.L.,https://www.agrfoodmarketing.com,Spain,Valencia,Advertising & market research,Service with Minor Environmental Footprint,
2026-04-13,(RI)GENERIAMO S.r.l. - Società Benefit,https://ri-generiamo.it,Italy,Metropolitan City of Turin,Other/general wholesale trade,Wholesale/Retail,
2026-04-13,//3877,https://www.3877.design,United States,District of Columbia,Architecture design & planning,Service with Minor Environmental Footprint,
2026-04-13,/asbz,https://asbz.com.br/,Brazil,São Paulo,Legal activities,Service with Minor Environmental Footprint,
2026-04-13,011h Sustainable Construction SL,https://www.011h.com,Spain,Catalonia,Design & building,Service with Significant Environmental Footprint,
2026-04-13,012factory Spa Società Benefit,https://www.012factory.it,Italy,Campania,"Other professional, scientific & tech",Service with Minor Environmental Footprint,
2026-05-04,1.oak Financial,https://www.1oakfinancial.com,United States,Virginia,Other financial services,Service with Minor Environmental Footprint,
2026-04-13,10/90 Community Inc.,https://changeapparel.ca,Canada,Ontario,General stores,Wholesale/Retail,
2026-04-13,100% Amazonia,https://www.100amazonia.com,Brazil,Pará,Other/general wholesale trade,Wholesale/Retail,
2026-04-13,1000 Skis AB,https://1000skis.com,Sweden,Stockholm County,Sports goods,Wholesale/Retail,
2026-04-13,100km Foods,https://www.100kmfoods.com,Canada,Ontario,Agicultural support/post-harvest,Agriculture/Growers,
2026-04-13,101 Solutions Srl Società Benefit,https://101solutions.it,Italy,Metropolitan City of Milan,Facilities & cleaning services,Service with Significant Environmental Footprint,
2026-04-13,10DAYS,https://www.10dayslifestyle.com,Netherlands The,North Holland,Textiles,Wholesale/Retail,
2026-04-13,10Pines SRL,https://www.10pines.com,Argentina,Autonomous City Of Buenos Aires,Computer programming services,Service with Minor Environmental Footprint,
2026-04-13,10x Banking Technology Holdings Limited,https://www.10xbanking.com,United Kingdom,London Borough of Camden,Software publishing and SaaS platforms,Service with Minor Environmental Footprint,
2026-04-13,11 Investments,https://www.11investments.co.uk,United Kingdom,City of Westminster,Employment placement & HR,Service with Minor Environmental Footprint,
2026-04-13,11 London,https://www.11-london.com,United Kingdom,London Borough of Hounslow,Advertising & market research,Service with Minor Environmental Footprint,
2026-04-13,11 TwentyTwo Ltd,https://www.11twentytwo.co.uk,United Kingdom,Kent,Environmental consulting,Service with Minor Environmental Footprint,
2026-04-13,11A Collaborative,https://www.11Acollaborative.com,United States,New York,Management consultant - for-profits,Service with Minor Environmental Footprint,
2026-04-13,1226309 Alberta Ltd. dba Community Natural Foods,https://www.communitynaturalfoods.com,Canada,Alberta,Food products,Wholesale/Retail,
2026-04-13,127 Energy,https://www.127energy.com,United States,California,Solar panel installation,Service with Minor Environmental Footprint,
2026-04-13,12PointFive,https://12pointfive.com,,,Management consultant - for-profits,Service with Minor Environmental Footprint,
2026-04-13,1338Tryon,https://www.1338tryon.com,United States,Oregon,Other/general wholesale trade,Wholesale/Retail,
2026-04-13,148,https://148.fr,France,Île-de-France,Advertising & market research,Service with Minor Environmental Footprint,
2026-04-13,"15 lightyears, Inc.",https://www.15lightyears.com,United States,Florida,Solar panel installation,Service with Significant Environmental Footprint,
2026-04-13,16 Interactive Ltd,https://www.16i.co.uk/,United Kingdom,Gloucestershire,Computer programming services,Service with Minor Environmental Footprint,
2026-04-13,17 Sport,https://www.17-sport.com,France,Paris,Management consultant - for-profits,Service with Minor Environmental Footprint,
2026-04-13,1st for Awarding,https://www.1stforawarding.co.uk,United Kingdom,Middlesbrough,Management consultant - for-profits,Service with Minor Environmental Footprint,
2026-04-13,2.0 Alimentaire Inc.,https://www.20food.ca,Canada,Quebec,Food products,Wholesale/Retail,
2026-04-13,20/20 Business Insight Limited,https://2020projectmanagement.com/,United Kingdom,Edinburgh,Other education,Service with Minor Environmental Footprint,
2026-04-13,2030 Ventures Ltd,https://www.the2030hub.com,United Kingdom,Liverpool,Management consultant - for-profits,Service with Minor Environmental Footprint,
